taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors
plamo2,2025-01-14,2025-01-14,exact_day,45,50,jamba,2024-03-28,292,41,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,attention_projection|kv_layout|ffn_projection_style,gemma2:has_moe|lm_head_bias|norm_scheme|output_head_connection|positional_encoding|residual_scheme;jamba:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
internlm3,2025-01-15,2025-01-15,exact_day,47,50,internlm2,2024-01-17,364,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,attention_projection|residual_scheme,internlm2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
baichuan_m1,2025-01-23,2025-01-23,exact_day,48,50,qwen2_moe,2024-06-07,230,24,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,attention_projection|window_schedule_detail|conv_on_kv,cohere2:altup|attention_family|attention_output_gating|attention_pattern|chunked_kv_cache|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|laurel|lm_head_bias|modality|ngram_memory|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rope_parameterization|rope_partition_detail|stack_topology;qwen2_moe:bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|residual_scheme|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
bailing_moe,2025-02-28,2025-02-28,exact_day,49,63,olmoe,2024-09-04,177,37,2,59,4,4.00,5.90,4.00,13.90,13.90,0.00,attention_projection|positional_encoding|router_activation_configurable|shared_expert_configurable,deepseek_v3:altup|attention_output_gating|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_projection_style|has_aux_silu_gate|has_moe|has_shared_expert|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|optional_nope|residual_update_rule|router_activation|shared_branch_merge_mode|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail;olmoe:attention_family|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|moe_subtype|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope|zero_expert_option
gemma3_text,2025-03-12,2025-03-12,exact_day,50,51,olmo2,2024-11-26,106,27,2,45,6,4.00,4.50,6.00,14.50,14.50,0.00,kv_layout|attention_pattern|window_schedule_detail|positional_encoding|windowed_rope_scope|residual_update_rule,gemma2:block_norm_variant|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_reuse_attention|lm_head_bias|modality|norm_scheme|optional_nope|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale;olmo2:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|laurel|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|uses_logit_softcap
nemotron_h,2025-03-20,2025-03-20,exact_day,51,57,jamba,2024-03-28,357,30,2,51,6,4.00,5.10,6.00,15.10,15.10,0.00,hybrid_block_schedule|norm_scheme|ffn_projection_style|has_aux_relu2_gate|moe_distribution|moe_subtype,deepseek_v3:altup|block_norm_variant|dual_attention_modules|expert_bias_correction|ffn_core|global_plus_linear_attention_mix|has_moe|has_shared_expert|lm_head_bias|ngram_memory|output_head_connection|qk_norm|residual_scheme|residual_update_rule|router_activation|shared_branch_merge_mode|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail;jamba:attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|moe_schedule_type|positional_encoding|projection_bias_scheme|q_lora_present|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|zero_expert_option
llama4,2025-04-05,2025-04-05,exact_day,52,63,olmoe,2024-09-04,213,29,2,57,6,4.00,5.70,6.00,15.70,15.70,0.00,modality|attention_pattern|rope_partition_detail|moe_schedule_type|chunked_kv_cache|periodic_no_rope_layers,deepseek_v3:altup|bitlinear_weights|conv_on_kv|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|moe_distribution|ngram_memory|norm_scheme|output_head_connection|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|shared_branch_merge_mode|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|zero_expert_option;olmoe:attention_family|attention_output_gating|attention_projection|block_norm_variant|coefficient_mix_shared_routed|cross_layer_kv_sharing|expert_bias_correction|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_subtype|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|router_activation|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|uses_logit_softcap|windowed_rope_scope
llama4_text,2025-04-05,2025-04-05,exact_day,52,50,minimax,2025-01-14,81,29,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,minimax:altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|ngram_memory|norm_scheme|optional_nope|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable;plamo2:attention_output_gating|bitlinear_weights|block_norm_variant|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|lm_head_bias|output_head_connection|periodic_no_rope_layers|positional_encoding|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
bailing_moe_linear,2025-04-24,2025-04-24,exact_day,54,63,bailing_moe,2025-02-28,55,56,1,56,7,2.00,5.60,7.00,14.60,14.60,0.00,stack_topology|state_update_rule|attention_family|attention_pattern|hybrid_block_schedule|attention_output_gating|global_plus_linear_attention_mix,bailing_moe:altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
qwen3,2025-04-29,2025-04-29,exact_day,55,50,olmo2,2024-11-26,154,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,residual_scheme,olmo2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
qwen3_moe,2025-04-29,2025-04-29,exact_day,55,60,llama4,2025-04-05,24,31,2,60,0,4.00,6.00,0.00,10.00,10.90,0.90,,llama4:altup|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|moe_schedule_type|norm_scheme|positional_encoding|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;mixtral:attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|modality|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|residual_update_rule|rope_partition_detail|router_activation|router_activation_configurable|stack_topology|tie_embeddings_configurable|zero_expert_option
granitemoehybrid,2025-04-30,2025-04-30,exact_day,57,62,granitemoe,2024-08-23,250,35,2,59,3,4.00,5.90,3.00,12.90,14.00,1.10,norm_scheme|moe_distribution|optional_nope,granitemoe:altup|attention_output_gating|coefficient_mix_shared_routed|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_schedule_type|moe_subtype|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|router_activation|router_activation_configurable|same_block_attention_ssm|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope|zero_expert_option;nemotron_h:attention_family|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|grouped_expert_selection|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|ngram_memory|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail
mimo,2025-05-12,2025-05-12,exact_day,58,50,qwen2_moe,2024-06-07,339,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,has_moe,qwen2_moe:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
falcon_h1,2025-05-20,2025-05-20,exact_day,59,50,phimoe,2024-08-17,276,24,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,hybrid_block_schedule|ffn_core|same_block_attention_ssm,phimoe:altup|attention_output_gating|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_layout|laurel|modality|norm_scheme|optional_nope|output_head_connection|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|secondary_token_mixer|window_schedule_detail|windowed_rope_scope;plamo2:attention_family|attention_pattern|block_norm_variant|chunked_kv_cache|dual_attention_modules|gated_delta_net|has_aux_silu_gate|has_moe|kv_lora_present|kv_reuse_attention|lm_head_bias|ngram_memory|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap
gemma3n,2025-05-20,2025-05-20,exact_day,59,51,gemma3_text,2025-03-12,69,27,2,43,8,4.00,4.30,8.00,16.30,16.30,0.00,modality|cross_layer_kv_sharing|qk_norm|qk_norm_detail|output_head_connection|uses_logit_softcap|laurel|altup,gemma3_text:attention_projection|bitlinear_weights|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|lm_head_bias|ngram_memory|norm_scheme|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|rglru_recurrence|rope_partition_detail|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope;llama:attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|ffn_core|has_aux_relu2_gate|kv_layout|kv_reuse_attention|periodic_no_rope_layers|residual_update_rule|rope_parameterization|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale
afm7,2025-05-27,2025-05-27,exact_day,61,51,openelm,2024-04-24,398,47,1,47,4,2.00,4.70,4.00,10.70,10.70,0.00,cross_layer_kv_sharing|residual_scheme|ffn_projection_style|kv_reuse_attention,openelm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
dots1,2025-06-06,2025-06-06,exact_day,62,63,deepseek,2024-01-08,515,35,2,63,0,4.00,6.30,0.00,10.30,10.30,0.00,,deepseek:altup|attention_family|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|lm_head_bias|modality|moe_distribution|moe_schedule_type|ngram_memory|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|router_activation_configurable|same_block_attention_ssm|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_softcap;minimax:attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|dual_attention_modules|expert_bias_correction|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_reuse_attention|laurel|moe_subtype|norm_scheme|optional_nope|output_head_connection|qk_norm|qk_norm_detail|rglru_recurrence|rope_partition_detail|router_activation|secondary_token_mixer|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail|windowed_rope_scope|zero_expert_option
hunyuan,2025-06-27,2025-06-27,exact_day,63,63,bailing_moe,2025-02-28,119,36,2,60,3,4.00,6.00,3.00,13.00,13.00,0.00,attention_projection|cross_layer_kv_sharing|positional_encoding,bailing_moe:attention_pattern|block_norm_variant|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|grouped_expert_selection|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_reuse_attention|lm_head_bias|ngram_memory|norm_scheme|optional_nope|output_head_connection|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;dbrx:altup|attention_family|attention_output_gating|bitlinear_weights|chunked_kv_cache|coefficient_mix_shared_routed|expert_bias_correction|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_lora_present|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|periodic_no_rope_layers|projection_bias_scheme|rope_partition_detail|router_activation|router_activation_configurable|shared_expert_configurable
ernie4_5,2025-06-28,2025-06-28,exact_day,64,49,helium,2025-01-13,166,48,1,48,1,2.00,4.80,1.00,7.80,7.80,0.00,ffn_core,helium:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
ernie4_5_moe,2025-06-28,2025-06-28,exact_day,64,61,olmoe,2024-09-04,297,41,2,61,0,4.00,6.10,0.00,10.10,10.10,0.00,,nemotron_h:altup|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|grouped_expert_selection|has_shared_expert|kv_reuse_attention|modality|ngram_memory|periodic_no_rope_layers|qk_norm|rope_parameterization|rope_partition_detail|same_block_attention_ssm|shared_branch_merge_mode|windowed_rope_scope;olmoe:attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option
smollm3,2025-07-08,2025-07-08,exact_day,66,50,olmo,2024-02-01,523,28,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,norm_scheme|ffn_activation_core,afm7:attention_pattern|bitlinear_weights|block_norm_variant|conv_on_kv|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_lora_present|laurel|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope;olmo:altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|ffn_core|has_aux_silu_gate|has_moe|kv_layout|kv_reuse_attention|lm_head_bias|modality|optional_nope|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail
lfm2,2025-07-10,2025-07-10,exact_day,67,50,exaone,2024-08-07,337,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,hybrid_block_schedule|secondary_token_mixer|rope_parameterization|norm_scheme|tie_embeddings_configurable,exaone:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
exaone4,2025-07-15,2025-07-15,exact_day,68,50,olmo2,2024-11-26,231,26,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,cohere2:attention_family|attention_output_gating|attention_pattern|bitlinear_weights|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|window_schedule_detail|windowed_rope_scope;olmo2:altup|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_layout|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap
glm4_moe,2025-07-28,2025-07-28,exact_day,69,62,dots1,2025-06-06,52,60,1,60,2,2.00,6.00,2.00,10.00,10.00,0.00,positional_encoding|output_head_connection,dots1:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
glm4_moe_lite,2025-07-28,2025-07-28,exact_day,69,62,deepseek_v3,2024-12-26,214,61,1,61,1,2.00,6.10,1.00,9.10,9.10,0.00,tie_embeddings_configurable,deepseek_v3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
