taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
deepseek_v3,2024-12-26,2024-12-26,exact_day,43,62,deepseek_v2,2024-05-06,234,59,1,59,3,2.00,5.90,3.00,10.90,10.90,0.00,positional_encoding|router_activation|expert_bias_correction,deepseek_v2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek_v2,2024-05-06,234,59,1.0000,1.0000,20,20,1,1,1.0000,deepseek_v2:20
helium,2025-01-13,2025-01-13,exact_day,44,49,glm,2024-06-05,222,48,1,48,1,2.00,4.80,1.00,7.80,7.80,0.00,ffn_projection_style,glm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,glm,2024-06-05,222,48,0.9000,0.9000,18,20,1,1,0.9000,glm:18;gemma:1;llama:1
plamo2,2025-01-14,2025-01-14,exact_day,45,50,jamba,2024-03-28,292,41,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,attention_projection|kv_layout|ffn_projection_style,gemma2:has_moe|lm_head_bias|norm_scheme|output_head_connection|positional_encoding|residual_scheme;jamba:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,jamba,2024-03-28,292,41,0.9000,0.9000,18,20,1,1,0.9000,jamba:18;gemma2:1;openelm:1
internlm3,2025-01-15,2025-01-15,exact_day,46,50,internlm2,2024-01-17,364,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,attention_projection|residual_scheme,internlm2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,internlm2,2024-01-17,364,48,0.6000,0.6000,12,20,1,1,0.6000,internlm2:12;minicpm:3;mixtral:2;helium:1;olmo2:1;olmoe:1
baichuan_m1,2025-01-23,2025-01-23,exact_day,47,50,minicpm,2024-02-01,357,29,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,attention_projection|window_schedule_detail|conv_on_kv,cohere2:altup|attention_pattern|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rope_parameterization|state_update_rule|uses_logit_softcap;qwen2_moe:attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|kv_layout|laurel|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|residual_scheme|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope,qwen2_moe,2024-06-07,230,26,0.4000,0.4000,8,20,1,1,0.4000,minicpm:8;helium:2;internlm2:2;qwen2_moe:2;jamba:1;llama:1;mixtral:1;phi3:1;qwen2:1;rwkv7:1
bailing_moe,2025-02-28,2025-02-28,exact_day,48,63,olmoe,2024-09-04,177,28,2,59,4,4.00,5.90,4.00,13.90,13.90,0.00,attention_projection|positional_encoding|router_activation_configurable|shared_expert_configurable,deepseek_v3:bitlinear_weights|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|has_shared_expert|kv_reuse_attention|lm_head_bias|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|residual_scheme|rglru_recurrence|router_activation|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale;olmoe:altup|attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|moe_subtype|optional_nope|output_head_connection|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|rope_partition_detail|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,olmoe,2024-09-04,177,30,0.6500,0.6500,13,20,1,0,0.3000,olmoe:13;deepseek_v3:6;olmo2:1
gemma3_text,2025-03-12,2025-03-12,exact_day,49,51,olmo2,2024-11-26,106,,2,45,6,4.00,4.50,6.00,14.50,14.50,0.00,kv_layout|attention_pattern|window_schedule_detail|positional_encoding|windowed_rope_scope|residual_update_rule,bailing_moe:attention_family|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_parameterization|same_block_attention_ssm|uses_logit_softcap;gemma2:altup|attention_output_gating|attention_projection|block_norm_variant|conv_on_kv|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|laurel|ngram_memory|norm_scheme|residual_scheme|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale,bailing_moe,2025-02-28,12,23,0.4000,0.4000,8,20,0,0,0.1500,olmo2:8;gemma2:5;cohere2:4;olmoe:3
nemotron_h,2025-03-20,2025-03-20,exact_day,50,57,jamba,2024-03-28,357,28,2,51,6,4.00,5.10,6.00,15.10,15.10,0.00,hybrid_block_schedule|norm_scheme|ffn_projection_style|has_aux_relu2_gate|moe_distribution|moe_subtype,deepseek_v3:altup|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_core|global_plus_linear_attention_mix|has_shared_expert|kv_reuse_attention|lm_head_bias|modality|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale;jamba:attention_family|attention_pattern|attention_projection|block_norm_variant|coefficient_mix_shared_routed|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_schedule_type|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail|zero_expert_option,jamba,2024-03-28,357,28,0.7000,0.7000,14,20,1,1,0.7000,jamba:14;deepseek_v3:5;bailing_moe:1
llama4,2025-04-05,2025-04-05,exact_day,51,63,olmoe,2024-09-04,213,26,2,57,6,4.00,5.70,6.00,15.70,15.70,0.00,modality|attention_pattern|rope_partition_detail|moe_schedule_type|chunked_kv_cache|periodic_no_rope_layers,deepseek:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|expert_bias_correction|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|moe_distribution|ngram_memory|output_head_connection|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option;olmoe:block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|kv_layout|kv_reuse_attention|laurel|lm_head_bias|moe_subtype|norm_scheme|optional_nope|positional_encoding|qk_norm|qk_norm_detail|residual_scheme|rope_parameterization|router_activation|router_activation_configurable|shared_expert_configurable|stack_topology|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmoe,2024-09-04,213,29,0.6500,0.6500,13,20,1,0,0.0000,olmoe:13;deepseek:4;nemotron_h:2;bailing_moe:1
llama4_text,2025-04-05,2025-04-05,exact_day,51,50,olmoe,2024-09-04,213,28,2,50,0,4.00,5.00,0.00,9.00,9.90,0.90,,olmoe:altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_layout|kv_lora_present|modality|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|windowed_rope_scope;plamo2:attention_output_gating|bitlinear_weights|block_norm_variant|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail,olmoe,2024-09-04,213,28,0.6000,0.6000,12,20,1,1,0.6000,olmoe:12;olmo2:6;gemma2:1;plamo:1
bailing_moe_linear,2025-04-24,2025-04-24,exact_day,53,63,bailing_moe,2025-02-28,55,56,1,56,7,2.00,5.60,7.00,14.60,14.60,0.00,stack_topology|state_update_rule|attention_family|attention_pattern|hybrid_block_schedule|attention_output_gating|global_plus_linear_attention_mix,bailing_moe:altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,bailing_moe,2025-02-28,55,56,1.0000,1.0000,20,20,1,1,1.0000,bailing_moe:20
qwen3,2025-04-29,2025-04-29,exact_day,54,50,olmo2,2024-11-26,154,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,residual_scheme,olmo2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmo2,2024-11-26,154,49,0.5000,0.5000,10,20,1,1,0.5000,olmo2:10;olmoe:10
qwen3_moe,2025-04-29,2025-04-29,exact_day,54,60,mixtral,2023-12-11,505,,2,60,0,4.00,6.00,0.00,10.00,10.90,0.90,,granitemoe:altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_core|gated_delta_net|has_shared_expert|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope;llama4:attention_output_gating|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|shared_expert_configurable|state_update_rule|uses_logit_scale|window_schedule_detail|zero_expert_option,granitemoe,2024-08-23,249,31,0.4000,0.4000,8,20,0,0,0.2500,mixtral:8;llama4:5;granitemoe:4;olmoe:3
granitemoehybrid,2025-04-30,2025-04-30,exact_day,56,62,granitemoe,2024-10-21,193,33,2,59,3,4.00,5.90,3.00,12.90,14.00,1.10,norm_scheme|moe_distribution|optional_nope,granitemoe:block_norm_variant|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|moe_schedule_type|moe_subtype|output_head_connection|positional_encoding|q_lora_present|residual_update_rule|rglru_recurrence|router_activation|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope;nemotron_h:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_core|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|ngram_memory|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail|zero_expert_option,nemotron_h,2025-03-20,41,31,0.6000,0.6000,12,20,1,1,0.6000,granitemoe:12;nemotron_h:7;plamo2:1
mimo,2025-05-12,2025-05-12,exact_day,57,50,qwen2,2024-06-07,339,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,tie_embeddings_default,qwen2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,qwen2,2024-06-07,339,49,0.6500,0.6500,13,20,1,1,0.6500,qwen2:13;qwen2_moe:7
falcon_h1,2025-05-20,2025-05-20,exact_day,58,50,plamo2,2025-01-14,126,28,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,hybrid_block_schedule|ffn_core|same_block_attention_ssm,phimoe:altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|has_aux_relu2_gate|kv_layout|kv_reuse_attention|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|qk_norm|residual_scheme|rope_parameterization|secondary_token_mixer|uses_logit_scale|uses_logit_softcap;plamo2:attention_family|attention_pattern|block_norm_variant|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|kv_lora_present|laurel|lm_head_bias|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,plamo2,2025-01-14,126,25,0.6500,0.6500,13,20,1,1,0.6500,plamo2:13;phimoe:4;granitemoehybrid:2;exaone:1
gemma3n,2025-05-20,2025-05-20,exact_day,58,51,gemma3_text,2025-03-12,69,19,2,43,8,4.00,4.30,8.00,16.30,16.30,0.00,modality|cross_layer_kv_sharing|qk_norm|qk_norm_detail|output_head_connection|uses_logit_softcap|laurel|altup,gemma3_text:attention_family|bitlinear_weights|conv_on_kv|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_lora_present|kv_reuse_attention|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope;llama:attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|has_moe|hybrid_block_schedule|kv_layout|lm_head_bias|ngram_memory|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|secondary_token_mixer|window_schedule_detail,gemma3_text,2025-03-12,69,24,0.5000,0.5000,10,20,1,0,0.1500,gemma3_text:10;llama:7;gemma2:3
afm7,2025-05-27,2025-05-27,exact_day,60,51,openelm,2024-04-24,398,47,1,47,4,2.00,4.70,4.00,10.70,10.70,0.00,cross_layer_kv_sharing|residual_scheme|ffn_projection_style|kv_reuse_attention,openelm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,openelm,2024-04-24,398,47,0.9500,0.9500,19,20,1,1,0.9500,openelm:19;olmoe:1
dots1,2025-06-06,2025-06-06,exact_day,61,63,qwen3_moe,2025-04-29,38,34,2,63,0,4.00,6.30,0.00,10.30,10.30,0.00,,bailing_moe:attention_family|attention_pattern|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_reuse_attention|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|projection_bias_scheme|qk_norm|qk_norm_detail|residual_update_rule|router_activation|shared_branch_merge_mode|state_update_rule|tie_embeddings_default|window_schedule_detail|windowed_rope_scope|zero_expert_option;granitemoe:altup|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|ffn_activation_core|gated_delta_net|kv_lora_present|laurel|lm_head_bias|modality|moe_subtype|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,bailing_moe,2025-02-28,98,34,0.4500,0.4500,9,20,1,1,0.4500,bailing_moe:9;qwen3_moe:9;bailing_moe_linear:1;deepseek:1
hunyuan,2025-06-27,2025-06-27,exact_day,62,63,dots1,2025-06-06,21,29,2,60,3,4.00,6.00,3.00,13.00,13.00,0.00,attention_projection|cross_layer_kv_sharing|positional_encoding,dots1:altup|attention_output_gating|attention_pattern|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|output_head_connection|projection_bias_scheme|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|shared_branch_merge_mode|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|windowed_rope_scope|zero_expert_option;qwen2_moe:attention_family|bitlinear_weights|chunked_kv_cache|dual_attention_modules|expert_bias_correction|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_distribution|moe_schedule_type|optional_nope|periodic_no_rope_layers|q_lora_present|residual_scheme|rope_parameterization|rope_partition_detail|router_activation|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail,dots1,2025-06-06,21,33,0.3000,0.3000,6,20,1,0,0.2500,dots1:6;qwen2_moe:5;bailing_moe:3;llama4:1;mixtral:1;olmoe:1;openelm:1;phixtral:1;qwen3_moe:1
ernie4_5,2025-06-28,2025-06-28,exact_day,63,49,helium,2025-01-13,166,48,1,48,1,2.00,4.80,1.00,7.80,7.80,0.00,ffn_core,helium:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,helium,2025-01-13,166,48,0.6000,0.6000,12,20,1,1,0.6000,helium:12;glm:2;internlm3:2;exaone:1;granite:1;olmo2:1;qwen3_moe:1
ernie4_5_moe,2025-06-28,2025-06-28,exact_day,63,61,olmoe,2024-09-04,297,35,2,61,0,4.00,6.10,0.00,10.10,10.10,0.00,,nemotron_h:altup|attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|ngram_memory|periodic_no_rope_layers|projection_bias_scheme|qk_norm|rglru_recurrence|rope_parameterization|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|window_schedule_detail|windowed_rope_scope;olmoe:attention_family|attention_pattern|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|output_head_connection|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rope_partition_detail|router_activation|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|zero_expert_option,olmoe,2024-09-04,297,32,0.8500,0.8500,17,20,1,1,0.8500,olmoe:17;nemotron_h:2;bailing_moe:1
